,CLIP,DreamSim,Normalised Compression Distance,Hamming Distance,Tile Frequencies,Tile Patterns (2×2),Tile Patterns (3×3),Tile Patterns (4×4),Symmetry (Horizontal),Symmetry (Vertical),Symmetry (Diag Fwd),Symmetry (Diag Bwd)
CLIP,,4.851585476250468e-11,6.251928990003195e-37,6.735421404367258e-39,9.054607034437598e-13,2.0927180169941325e-15,4.614276007268955e-42,1.9966184466059758e-51,4.489036197802414e-84,1.5919036263114724e-80,9.018709507734282e-102,3.5426339634121796e-102
DreamSim,4.851585476250468e-11,,2.67822627268941e-54,4.7346688095065833e-66,7.1327913555340675e-31,1.2903643011056672e-37,5.591261521011978e-71,1.3881719487616132e-71,1.0254061600652749e-104,1.715775472836011e-97,4.6006582382880526e-119,2.0844234032565533e-119
Normalised Compression Distance,6.251928990003195e-37,2.67822627268941e-54,,0.05301861737742044,3.3474556569182064e-16,1.1962495789711464e-15,0.05209179128499262,0.9754602221379269,1.1489124962611556e-12,1.3459588848850256e-14,3.729312162306154e-40,8.082454126885994e-38
Hamming Distance,6.735421404367258e-39,4.7346688095065833e-66,0.05301861737742044,,3.1446685630337944e-22,4.225366653083683e-24,0.885982105768971,0.02159051794985895,5.7701044037474246e-24,4.527387794379981e-24,3.937946439493187e-46,2.2031407761596043e-44
Tile Frequencies,9.054607034437598e-13,7.1327913555340675e-31,3.3474556569182064e-16,3.1446685630337944e-22,,0.12887667106150005,9.038472220516634e-21,2.6969203336219007e-26,8.166499052231057e-55,1.8966142137752922e-53,9.198034492531233e-71,1.444394780972574e-67
Tile Patterns (2×2),2.0927180169941325e-15,1.2903643011056672e-37,1.1962495789711464e-15,4.225366653083683e-24,0.12887667106150005,,2.8166759915919996e-23,5.661110217645455e-23,5.659226335972835e-50,9.60883342202229e-48,1.167662352760617e-66,4.1023054710081584e-65
Tile Patterns (3×3),4.614276007268955e-42,5.591261521011978e-71,0.05209179128499262,0.885982105768971,9.038472220516634e-21,2.8166759915919996e-23,,0.001573590664905606,1.5892343529282847e-23,3.2046634429328584e-25,1.6012594888473054e-46,2.023898277574722e-44
Tile Patterns (4×4),1.9966184466059758e-51,1.3881719487616132e-71,0.9754602221379269,0.02159051794985895,2.6969203336219007e-26,5.661110217645455e-23,0.001573590664905606,,1.8069416546726272e-16,4.3170401181246623e-19,3.9300541439504165e-34,5.4907395223640295e-33
Symmetry (Horizontal),4.489036197802414e-84,1.0254061600652749e-104,1.1489124962611556e-12,5.7701044037474246e-24,8.166499052231057e-55,5.659226335972835e-50,1.5892343529282847e-23,1.8069416546726272e-16,,0.3274150892116513,2.0147265415884197e-10,4.882160005349084e-10
Symmetry (Vertical),1.5919036263114724e-80,1.715775472836011e-97,1.3459588848850256e-14,4.527387794379981e-24,1.8966142137752922e-53,9.60883342202229e-48,3.2046634429328584e-25,4.3170401181246623e-19,0.3274150892116513,,5.2526989623504755e-08,1.1027430023602477e-07
Symmetry (Diag Fwd),9.018709507734282e-102,4.6006582382880526e-119,3.729312162306154e-40,3.937946439493187e-46,9.198034492531233e-71,1.167662352760617e-66,1.6012594888473054e-46,3.9300541439504165e-34,2.0147265415884197e-10,5.2526989623504755e-08,,0.5742202162128074
Symmetry (Diag Bwd),3.5426339634121796e-102,2.0844234032565533e-119,8.082454126885994e-38,2.2031407761596043e-44,1.444394780972574e-67,4.1023054710081584e-65,2.023898277574722e-44,5.4907395223640295e-33,4.882160005349084e-10,1.1027430023602477e-07,0.5742202162128074,
